N,biot_coefficient,storativity,young_modulus,init_stress_x,perm_kr,perm_km,perm_beta,perm_gamma
89,0.1966553090313438,6.4912136494028e-08,20227975892.032204,26573782.338095818,9.306831646165762e-22,5.233732234092341e-18,7.511071912936532e-07,1.0665257626030745e-06
148,0.2105063179873481,1.2288695819293893e-07,32974718447.039368,47856762.46881753,5.559409496696999e-22,8.491530542657864e-18,3.804582061829551e-07,7.95802984835676e-07
271,0.2140811256005461,1.694934613321296e-07,9536503879.779629,23872292.532095756,1.8037450518790306e-21,1.3860362999120157e-17,3.785465563683629e-07,4.662554559304215e-06
45,0.2259111333391154,1.7650688170907756e-07,14312185977.42345,31527303.518495217,1.327954333456264e-21,1.1232039795448753e-17,5.518500397326776e-07,5.325907860573888e-06
172,0.227948709548213,1.1914391164487294e-07,16524078534.254896,24879698.874619048,8.3681316824958465e-22,1.2590504946604067e-16,3.612892968046743e-07,1.7375359206434663e-06
55,0.2368819409873552,1.4872063918683293e-07,15294484031.72828,31142791.24749094,1.1603964539462578e-21,2.119300686209898e-16,9.65866302267327e-07,8.076024501313031e-07
301,0.2291001104198324,1.0509688869350352e-07,17522335339.45375,31886841.769934632,1.8858834641512317e-21,5.1655645240317605e-17,8.154537214352469e-07,4.957457823517618e-07
28,0.2278286243818895,1.0436370191849122e-07,20018205248.742687,26587864.687137745,3.985280983350405e-22,1.3254338078175375e-16,3.75235732943922e-07,1.5460920478229417e-07
112,0.2462353165430689,7.59383382863507e-08,11306158252.349289,24663821.871841613,2.133180236113263e-21,1.0401717626226113e-16,4.154819611126899e-07,1.0536469441222953e-07
11,0.2361780987674392,4.430980246878145e-08,13097787862.63726,20986627.03809237,5.2077203896495265e-22,3.1137281616293072e-18,5.508852938360182e-07,2.830931155166424e-07
5,0.24303619887312,5.2484183887742e-08,15975462137.919067,24088339.58808542,7.565421791416115e-22,9.456165666158616e-18,6.369835136278472e-07,2.143610674010258e-07
75,0.2447826960559615,6.839683627014639e-08,15360058522.815104,22554846.353743587,4.907843947122553e-22,1.473914799360645e-17,2.9736575178783346e-07,7.163050878489907e-08
480,0.250553980390523,6.605265755265861e-08,73256035492.94324,49829195.65762924,6.940706960644648e-22,2.1453388240381082e-17,4.416054102850041e-07,8.825245478091331e-08
95,0.2594683758986306,6.71208530845812e-08,74981107731.08376,37341005.27355367,3.4445433939872135e-22,3.013072193910997e-17,5.835736385395735e-07,2.900741242228462e-07
216,0.2571017828471965,3.5870289263709076e-08,123018821214.92702,44139654.03767601,2.2206076926469736e-22,7.987779511995771e-17,4.925263000329844e-07,1.6086873677922429e-07
51,0.2429066094930195,9.463835972552873e-08,75219517880.08035,60026511.72937768,7.559755331048487e-22,1.6343089404059514e-16,1.1497842399300825e-06,4.3304443148847e-08
58,0.2193480195075563,1.3395062187257372e-07,76243098421.00769,59559083.72619432,6.254238609214741e-22,2.088569741084348e-15,2.503606274431831e-06,1.9138594203094704e-08
155,0.2121924676524609,1.998702629421042e-07,61734307666.71787,74443261.03807098,4.917320779398953e-22,2.546815290003835e-15,1.489440796342067e-06,2.945333033995633e-08
72,0.2151945763316117,1.3907781666942704e-07,67180802763.128914,64825705.04473879,6.55795527829477e-22,1.4722196828177618e-15,1.0647629305827629e-06,3.8664350867335765e-08
57,0.2016281428829371,2.2199667029183826e-07,41949754693.44325,69941627.00742027,7.652847813930983e-22,6.08341769236514e-16,2.9811739430379093e-06,3.1774308896435194e-08
121,0.2012624317951022,2.173361791731772e-07,34513959695.65011,64217367.82640295,1.0339056013372752e-21,6.222470256216633e-16,3.915095259478964e-06,1.2892223476698596e-08
22,0.1925460386535293,1.1147690746280933e-07,25948406620.937675,33930236.08841067,9.181230620875237e-22,6.022259406457123e-16,4.582886853946005e-06,1.4638115266191274e-08
218,0.2112158378015901,1.8785834973992058e-07,25562641131.77704,44586568.420829535,1.8793509169786404e-21,1.615047706462227e-15,2.6507464112680345e-06,9.757109701772255e-09
1,0.2259373425966408,2.125824575947792e-07,25583241206.10521,38307021.58694889,1.317775256159321e-21,2.073797403519086e-15,3.196791751189677e-06,3.4603095493711e-08
29,0.2251144571991119,4.943219573949711e-07,18404351245.58192,60430068.1960328,2.2676008327096535e-21,6.625417797139803e-15,2.201017264193605e-06,4.325544408767284e-08
233,0.2180554126057686,4.989426028654137e-07,20240573526.204624,70190088.11626592,1.5589573271322298e-21,2.1298593192116833e-14,2.1328842978390662e-06,4.162486422622692e-08
422,0.2140090074773061,5.043850993803965e-07,24766871489.95356,101604246.46903165,1.0381423271615453e-21,1.0266967231167847e-14,1.2193347204986465e-06,2.5129532249060943e-08
20,0.2061048778499237,1.3426675160451785e-07,23601223093.21102,29787119.578170005,1.1036439463280017e-21,9.411342532025878e-15,9.991389823282395e-07,3.4118636385230815e-08
42,0.2103013260795263,1.264555521839761e-07,25620125822.415558,37529336.35607167,1.3405560059133086e-21,1.0751043470364966e-14,2.9273835197059966e-06,2.6468684950491684e-08
30,0.2179934678734913,6.690678469846747e-08,18264536563.63925,25888824.02260336,1.101854372409427e-21,2.601285668758644e-16,2.1473120627106485e-06,2.54589865353368e-08
158,0.2153475876271186,2.120555086025991e-07,32776910939.85488,55448410.29089969,1.8886183935046805e-21,9.16711793443889e-16,3.556019158046114e-07,1.4087199233105045e-08
36,0.2163227294455497,2.820979578204593e-07,29639626927.37348,57673853.61540018,2.142484294498828e-21,1.7145297262773466e-16,3.592394279808212e-07,1.0699880192887568e-08
363,0.2211013946665778,3.7809608616407083e-07,17835188338.35937,64647774.28864398,2.9479902542959533e-21,1.8475755499515777e-15,8.232626815950212e-07,1.8969566498410145e-08
173,0.2219363039492322,1.7699117246153077e-07,21392659943.223694,45314541.29137143,1.913317029275829e-21,1.7391080554713356e-15,2.4764074924208464e-06,2.0277405508771852e-08
12,0.2246480591510682,3.060588493991849e-07,21117834898.88064,47882708.86682606,2.9180381671375015e-21,1.0562136713790635e-15,1.805985539758493e-06,1.233770348583037e-08
119,0.2140496390341548,2.224953026264757e-07,19377669558.02379,37190296.20648546,1.7219493305308207e-21,1.2433515303341066e-15,5.241250712151247e-06,6.0792007472797434e-09
48,0.2105713834744922,1.845572334974362e-07,37678253388.82415,52163315.79273775,1.4274731626426345e-21,2.0891490774278884e-14,3.1500731235379275e-06,3.754456999340543e-09
367,0.2172935170869645,1.3128542499570158e-07,14676591485.819208,29008235.117511258,2.0077148189536143e-21,3.2251468312387646e-14,2.558601727822585e-06,2.624040906801385e-09
161,0.2282829510108219,2.00572726174667e-07,19828911982.3967,31867654.57239724,1.632152829591717e-21,6.7092234952093155e-15,1.196584497461161e-06,6.440523106493746e-09
17,0.2234177116617009,2.989888588378429e-07,15109051667.96875,37342306.04465746,3.285760989035477e-21,9.517430618093596e-16,4.420144681852521e-06,8.081413736639782e-09
139,0.2091917315982724,1.9327441520783019e-07,7116923970.321511,22850880.279675927,2.3441591501090374e-21,7.31376424018706e-16,4.045628324070415e-06,3.775039340222577e-09
148,0.1963892976766639,3.8333717257039866e-07,2859290850.794218,23333339.637218118,4.750820740428409e-21,3.2519568201981842e-15,1.102326682033283e-06,4.506716430856228e-09
211,0.1916774697112174,1.793094498973376e-07,3925056634.351647,19166707.55198982,1.6950956806811005e-21,1.3251986473355073e-15,2.122669589580509e-06,9.908718744963769e-09
335,0.2187818965773216,4.198279519126501e-07,4404442038.515668,24454550.096269097,2.6369589285103415e-21,4.492594865499943e-16,5.727142580718268e-07,1.1191095235352481e-08
1,0.2032460837811947,1.9387218617770385e-07,13900173316.813473,39737894.42195599,4.305124222723595e-21,3.5023601387231345e-17,5.319874617789864e-07,5.015279349987012e-08
4,0.2148466064511766,1.4467904546809126e-07,40428535174.60094,57402052.79727344,2.0898507356428044e-21,5.535311872647616e-17,3.240422070287397e-07,1.2504140114098985e-08
28,0.2084860736147432,1.6490648615235978e-07,14604358418.669552,34036167.92995166,3.1626143480673737e-21,7.927070169373999e-18,7.472371696119052e-07,4.3768972773363075e-08
33,0.2234146705581898,3.502542655567019e-07,5093480382.698873,28419670.93679181,5.9153895071936714e-21,1.1453866839146765e-17,4.856231448712975e-07,2.1346264339026005e-08
174,0.223566435222553,3.0678714948459495e-07,2504466446.826418,22361366.84023384,6.139217497280229e-21,7.807358009765529e-18,5.514370611866475e-07,1.6880854651677845e-08
107,0.2245986803377049,6.614204736220765e-07,2375846147.502232,25277057.404331926,9.210270745514542e-21,4.149074836811806e-18,5.058636556933705e-07,5.4809165824718375e-08
126,0.2197653753969815,1.106667620327652e-06,4218757699.1522064,43782212.00204066,8.131595461361024e-21,4.218204765636528e-18,3.358633351150204e-07,4.6527793086601305e-08
229,0.2119741599882488,5.754466865727169e-07,4913632661.962152,37281007.765677616,3.6524727194575985e-21,1.8777123675492545e-18,1.5773648846282486e-07,2.914023988956293e-08
