N,biot_coefficient,storativity,young_modulus,init_stress_x,perm_kr,perm_km,perm_beta,perm_gamma
5,0.2134226279261131,2.5559094879857933e-08,55718061567.589714,28579983.00255661,1.693556819555851e-22,1.5609184328864158e-16,7.568749795513612e-07,4.916278486087756e-07
4,0.2169843241941403,4.07520322873153e-08,92339038434.33026,42156144.71641827,1.7757803634656565e-22,1.4784467303937583e-16,4.288291208149545e-07,5.066725570945813e-07
7,0.2129329686881333,4.460265880779549e-08,63714727434.52016,44386051.378893845,1.7746560063957326e-22,2.036222897282872e-16,4.362860435179211e-07,5.598454783261954e-07
8,0.2156687273147436,4.0296421498324244e-08,94733662019.63748,47926079.76869874,2.7384124219226785e-22,1.7959406675269255e-16,3.7181156846065677e-07,4.792801183205395e-07
14,0.2083396078132711,5.1326068230032246e-08,129093814899.90182,57999310.43235055,2.296876784307529e-22,1.3397030790941162e-16,5.110809040622816e-07,4.119932646289664e-07
4,0.2000822111502337,5.315547537901928e-08,98077341681.53896,65149913.3981654,2.4181792996939576e-22,3.956703408036856e-16,7.558728088683245e-07,2.572749031004044e-07
25,0.2057491253780286,9.294293570259957e-08,31002360804.718544,50873866.52949667,4.408817787093759e-22,2.7685200611934007e-16,6.146529619840735e-07,2.2389571287476965e-07
12,0.1953214887353488,1.0863795422192455e-07,44755174706.55064,66099396.31918026,3.1714117343816367e-22,6.212841588292442e-16,6.181305579426499e-07,1.9952029402333127e-07
19,0.1964850575739499,1.1508934356564047e-07,40694248584.81216,60148196.62426032,2.0029983767226064e-22,6.8738034407487045e-16,9.636943761120228e-07,2.2336975728997518e-07
18,0.1969384244971668,1.3115482114382426e-07,34233263736.92819,72485656.01146595,2.5269480133385895e-22,4.205215992445842e-16,5.824595753965814e-07,1.60808339363578e-07
14,0.201603447315682,1.9356282946921926e-07,34318878975.646564,72925084.48216312,1.8669318233697205e-22,3.628458744001504e-16,4.4815252688358083e-07,9.56937965546351e-08
8,0.2037290745797365,1.481304060493649e-07,36041043859.05346,62133274.96112856,3.0465736283120323e-22,1.502178844714036e-16,4.61234511144025e-07,1.042085207476707e-07
1,0.1994547208458122,6.001938217386737e-08,88629725882.33652,72211874.64031778,1.8638953589827e-22,1.1651060616103292e-16,3.714733930751926e-07,8.498269211424106e-08
13,0.1942514704818808,4.5880565367865737e-08,115221624034.87515,64392880.25269946,1.1533526322895597e-22,1.6411672648908667e-16,6.448224050540031e-07,7.81157882381216e-08
9,0.1867092063557583,2.5477297600187326e-08,190579893821.05997,63879373.301288426,9.919879265544055e-23,2.398374507624195e-16,8.487965753160247e-07,5.568954618346935e-08
11,0.1780770078163349,3.897590354129885e-08,148651482126.0936,66404849.106624,1.3209624592615334e-22,2.904158569700341e-16,7.748241762233254e-07,3.4316945035430794e-08
1,0.1837233111760943,1.2081165842511344e-08,122874967617.9559,39173191.72188147,1.0571603923130474e-22,3.2900780855742904e-16,8.128958472169917e-07,2.8551295982997313e-08
6,0.1918883825631361,1.1138614857702852e-08,144771813759.32925,32585669.379493933,6.784069538971881e-23,3.414074284907889e-16,5.896327865243163e-07,3.6935889256874476e-08
